127.0.0.1, 2018-08-11 13:38:21, GET, /find_my_pill/appadmin/hooks, HTTP/1.1, 200, 0.162000
127.0.0.1, 2018-08-11 13:38:39, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.060000
127.0.0.1, 2018-08-11 13:38:39, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.045000
127.0.0.1, 2018-08-11 13:38:39, GET, /find_my_pill/appadmin/hooks, HTTP/1.1, 200, 1.002000
127.0.0.1, 2018-08-11 13:38:40, GET, /find_my_pill/appadmin/hooks, HTTP/1.1, 200, 0.116000
127.0.0.1, 2018-08-11 13:39:21, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.051000
127.0.0.1, 2018-08-11 13:39:21, GET, /find_my_pill/appadmin/hooks, HTTP/1.1, 200, 0.158000
127.0.0.1, 2018-08-11 13:39:39, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.043000
127.0.0.1, 2018-08-11 13:39:39, GET, /find_my_pill/appadmin/hooks, HTTP/1.1, 200, 0.156000
127.0.0.1, 2018-08-11 13:39:40, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.043000
127.0.0.1, 2018-08-11 13:39:40, GET, /find_my_pill/appadmin/hooks, HTTP/1.1, 200, 0.154000
127.0.0.1, 2018-08-11 13:40:04, POST, /admin/default/edit/find_my_pill/views/home_page.html, HTTP/1.1, 200, 0.040000
127.0.0.1, 2018-08-11 13:40:06, GET, /find_my_pill/home_page, HTTP/1.1, 200, 0.057000
127.0.0.1, 2018-08-11 13:40:08, GET, /find_my_pill/static/images/favicon.ico, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-08-11 13:40:21, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.043000
127.0.0.1, 2018-08-11 13:40:21, GET, /find_my_pill/appadmin/hooks, HTTP/1.1, 200, 0.154000
127.0.0.1, 2018-08-11 13:40:29, POST, /admin/default/edit/find_my_pill/controllers/home_page.py, HTTP/1.1, 200, 0.023000
